stars,text
5,"I love love LOVE this place. My boss (who is into healthy eating) recommended this place. I went over with some highly skeptical friends and one dinner was enough to convert them into believers! The food here is so good! We had the Shrimp dumplings and the Onion tart as starters. We ordered the Shirataki noodles and street tacos as entrees. So also ordered the Kale-aid. All of the dishes were yummy. 
I have gone back many times since then and have never been disappointed! I have gone after yoga to get some Kale salad or the chicken chopped salad. I always have to get the Kale aid. 
Once, a guy at the next table, uprooted a whole plant by mistake (on the patio) and was highly embarrassed as was his date! Ever since, I have very careful not to throw my arms around as I can be quite clumsy sometimes! I do NOT want to be banned from my favorite place for my clumsiness! I don't think I can live without True Food!"
5,"The best !

From my first shredded beef taco almost a year ago  ..i have been lovin' this place.
I also love the number 13 combo platter (.Mini beef chimi's ,Gauc ,rice and beans) 

The tacos are 5 star fresh and yum ! ... AND reasonably priced."
5,"I love Coach.
Stylish and trendy without spending an obscene amount of money on a bag. Sure they are still a bit more pricey than a purse at Target, but you are paying for name. The sales associates are really nice and won't hesitate talking to you. I only have a few things from Coach because usually I can't justify spending to much money to accessories, but anything you buy here you can use forever. A coach bag will probably never go out of style."
5,This place is great!
5,"I have been going to the Matador since I was little when it was a little hole in the wall on 2nd Street.  They have always had great Sonoran style Mexican food!  It's always our go to place when we attend events downtown or have business to attend to. They also have the best hot sauce in town!  As far as the service,  the food comes out quickly and we never really have to wait long.  If you're downtown and looking for great food I would highly recommend this place."
5,"I don't actually hunt or fish, but after visiting this place, I'd like to take up those activities. This place is like a giant outdoors amusement park. Everything you could possibly want for outdoor activities is included in this store. I could spend hours in this store just looking at everything they have available. Plus, now I know where to buy the furniture if I ever get a hunting lodge."
5,Best BBQ ever.  Go here and thank me later.
5,"As far as gourmet burger joints go, this place is the bomb! I am a huge fan of Deluxe Burger and now they have a run for their money! Plus the parking is much easier at Zinburger. I had the Zinburger, and we shared sweet potato fries and regular fries. Everything was delicious! All 3 of had the Zinburger, so not much variety at our table, but we all finished our burgers, and given the size of them, I was pretty surprised/impressed with all of us. The burger was heavenly, juicy and cooked perfectly. I would definitely go back, again and again!"
5,"Juan Jaime's is where the simple taste of Mexico are served with delectable results.  The kitchen produces vibrant fiesta flavors that left me wanting more. The simple menu offers approachable, exciting, delicious food that satisfies any appetite.  The Margarita's flavor should be praised. And the staff is top notch.  This is just what Chandler needed.  If you go ask for the Grilled Mahi Mahi.  You'll thank me later.  I can't wait to go back."
5,"I'm sure most people don't go to a fancy steak restaurant for the Mac 'n cheese, but as a mac aficionado, it's practically my duty. And the mac here, well it's high quality. I like to order the lobster mac sans lobster (not a big fan of seafood), which without the seafood, is actually quite inexpensive. Now be warned, this is real heavy mac 'n cheese. It's so cheesy, and thick, and delicious; don't plan on being able to wiggle out of your booth any time soon after eating it."
