year,month,day,hour,pm2.5,TEMP
2010,1,1,0,,-11.0
2010,1,1,1,,-12.0
2010,1,1,2,,-11.0
2010,1,1,3,,-14.0
2010,1,1,4,,-12.0
2010,1,1,5,,-10.0
2010,1,1,6,,-9.0
2010,1,1,7,,-9.0
2010,1,1,8,,-9.0
2010,1,1,9,,-8.0
2010,1,1,10,,-7.0
2010,1,1,11,,-5.0
2010,1,1,12,,-5.0
2010,1,1,13,,-3.0
2010,1,1,14,,-2.0
2010,1,1,15,,-1.0
2010,1,1,16,,-2.0
2010,1,1,17,,-3.0
2010,1,1,18,,-5.0
2010,1,1,19,,-4.0
2010,1,1,20,,-5.0
2010,1,1,21,,-5.0
2010,1,1,22,,-5.0
2010,1,1,23,,-5.0
2010,1,2,0,129.0,-4.0
2010,1,2,1,148.0,-4.0
2010,1,2,2,159.0,-5.0
2010,1,2,3,181.0,-5.0
2010,1,2,4,138.0,-5.0
2010,1,2,5,109.0,-6.0
2010,1,2,6,105.0,-6.0
2010,1,2,7,124.0,-5.0
2010,1,2,8,120.0,-6.0
2010,1,2,9,132.0,-5.0
2010,1,2,10,140.0,-5.0
2010,1,2,11,152.0,-5.0
2010,1,2,12,148.0,-5.0
2010,1,2,13,164.0,-5.0
2010,1,2,14,158.0,-5.0
2010,1,2,15,154.0,-5.0
2010,1,2,16,159.0,-5.0
2010,1,2,17,164.0,-5.0
2010,1,2,18,170.0,-5.0
2010,1,2,19,149.0,-5.0
2010,1,2,20,154.0,-5.0
2010,1,2,21,164.0,-5.0
2010,1,2,22,156.0,-6.0
2010,1,2,23,126.0,-6.0
2010,1,3,0,90.0,-6.0
2010,1,3,1,63.0,-6.0
2010,1,3,2,65.0,-7.0
2010,1,3,3,55.0,-7.0
2010,1,3,4,65.0,-7.0
2010,1,3,5,83.0,-8.0
2010,1,3,6,91.0,-8.0
2010,1,3,7,86.0,-9.0
2010,1,3,8,82.0,-9.0
2010,1,3,9,86.0,-9.0
2010,1,3,10,78.0,-9.0
2010,1,3,11,98.0,-9.0
2010,1,3,12,107.0,-9.0
2010,1,3,13,90.0,-9.0
2010,1,3,14,96.0,-9.0
2010,1,3,15,95.0,-9.0
2010,1,3,16,86.0,-9.0
2010,1,3,17,70.0,-9.0
2010,1,3,18,61.0,-9.0
2010,1,3,19,53.0,-9.0
2010,1,3,20,71.0,-9.0
2010,1,3,21,72.0,-10.0
2010,1,3,22,76.0,-9.0
2010,1,3,23,73.0,-11.0
2010,1,4,0,79.0,-12.0
2010,1,4,1,58.0,-9.0
2010,1,4,2,25.0,-10.0
2010,1,4,3,26.0,-11.0
2010,1,4,4,28.0,-11.0
2010,1,4,5,26.0,-12.0
2010,1,4,6,20.0,-12.0
2010,1,4,7,29.0,-13.0
2010,1,4,8,26.0,-13.0
2010,1,4,9,27.0,-13.0
2010,1,4,10,27.0,-12.0
2010,1,4,11,25.0,-12.0
2010,1,4,12,29.0,-11.0
2010,1,4,13,32.0,-10.0
2010,1,4,14,28.0,-10.0
2010,1,4,15,29.0,-9.0
2010,1,4,16,30.0,-9.0
2010,1,4,17,30.0,-11.0
2010,1,4,18,28.0,-11.0
2010,1,4,19,26.0,-12.0
2010,1,4,20,31.0,-12.0
2010,1,4,21,33.0,-13.0
2010,1,4,22,29.0,-13.0
2010,1,4,23,31.0,-15.0
2010,1,5,0,30.0,-17.0
2010,1,5,1,34.0,-18.0
2010,1,5,2,27.0,-19.0
2010,1,5,3,25.0,-18.0
2010,1,5,4,28.0,-19.0
2010,1,5,5,28.0,-16.0
2010,1,5,6,27.0,-16.0
2010,1,5,7,27.0,-16.0
2010,1,5,8,27.0,-16.0
2010,1,5,9,29.0,-15.0
2010,1,5,10,36.0,-14.0
2010,1,5,11,30.0,-13.0
2010,1,5,12,27.0,-12.0
2010,1,5,13,39.0,-11.0
2010,1,5,14,41.0,-11.0
2010,1,5,15,33.0,-11.0
2010,1,5,16,50.0,-11.0
2010,1,5,17,56.0,-11.0
2010,1,5,18,59.0,-11.0
2010,1,5,19,60.0,-13.0
2010,1,5,20,84.0,-12.0
2010,1,5,21,106.0,-18.0
2010,1,5,22,66.0,-13.0
2010,1,5,23,50.0,-16.0
2010,1,6,0,56.0,-17.0
2010,1,6,1,77.0,-14.0
2010,1,6,2,50.0,-14.0
2010,1,6,3,44.0,-14.0
2010,1,6,4,27.0,-14.0
2010,1,6,5,28.0,-14.0
2010,1,6,6,21.0,-14.0
2010,1,6,7,25.0,-15.0
2010,1,6,8,20.0,-14.0
2010,1,6,9,29.0,-13.0
2010,1,6,10,34.0,-12.0
2010,1,6,11,42.0,-11.0
2010,1,6,12,28.0,-10.0
